Latitude,Longitude
43.76035730,-79.41247867
43.75454169,-79.53041943
43.65730000,-79.37346000
43.64935000,-79.39370000
43.69796030,-79.51153880
43.74148143,-79.39997881
43.63417000,-79.42940000
43.68603000,-79.44397000
43.65440000,-79.39864000
43.68797000,-79.35087000
43.65274332,-79.43672202
43.67687527,-79.33887214
43.76046000,-79.50978000
43.80654000,-79.21865000
43.66512000,-79.45416000
43.64084000,-79.43541000
43.63470000,-79.49279000
43.68694000,-79.39987000
43.67078000,-79.42123000
43.68776000,-79.27092000
43.76201000,-79.19474000
43.63666000,-79.43860000
43.73463000,-79.55784000
43.68799000,-79.32957000
43.66966000,-79.37579000
43.79172000,-79.34020000
43.65101000,-79.44000000
43.66970000,-79.43276000
43.69436000,-79.45623000
43.75065000,-79.54908000
43.65025000,-79.43008000
43.73310000,-79.60583000
43.72587000,-79.48548000
43.76057348,-79.21568270
43.69324000,-79.28724000
43.74915000,-79.51568000
43.75523000,-79.28434000
43.66549000,-79.35262000
43.71949000,-79.44391000
43.69755000,-79.25679000
43.76029000,-79.35370000
43.67880000,-79.48291000
43.76233000,-79.45922000
43.59958000,-79.52704000
43.70914000,-79.27612000
43.69681000,-79.50889000
43.63944000,-79.44250000
43.78390000,-79.35288000
43.66242000,-79.35869000
43.77713000,-79.34790000
43.68762000,-79.42366000
43.73028000,-79.43824000
43.65316000,-79.40435000
43.67576884,-79.44497474
43.65782988,-79.46394040
43.63774331,-79.43328340
43.80158216,-79.40072235
43.77356847,-79.34459209
43.72622153,-79.55167348
43.69448493,-79.31927288
43.70164000,-79.33715000
43.65878000,-79.44075000
43.67136000,-79.37232000
43.76221000,-79.18226000
43.62075000,-79.50154000
43.66716000,-79.31692000
43.78164000,-79.41600000
43.66930000,-79.42872000
43.64735000,-79.43728000
43.64854000,-79.39741000
43.68757000,-79.56999000
43.70422000,-79.51939000
43.64935000,-79.39370000
43.68266000,-79.31960000
43.76005000,-79.39538000
43.77253000,-79.25464000
43.70439000,-79.29642000
43.66337000,-79.37227000
43.76321000,-79.19852000
43.74150000,-79.23610000
43.71898000,-79.56898000
43.67041000,-79.45954000
43.72236000,-79.50898000
43.76851000,-79.16302000
43.76177000,-79.23987000
43.76018000,-79.26238000
43.69425000,-79.55865000
43.76405000,-79.20563000
43.65398000,-79.46724000
43.68598000,-79.35630000
43.64550000,-79.45317000
43.70754000,-79.48244000
43.63718000,-79.43604000
43.69580000,-79.55216000
43.69599000,-79.27889000
43.78159000,-79.43538000
43.72346000,-79.40184000
43.67555272,-79.39694142
43.74823355,-79.54160883
43.77594207,-79.29492069
43.69597341,-79.39992355
43.68948939,-79.50506282
43.60756719,-79.54037158
43.66572255,-79.38095933
43.61617394,-79.49836750
43.73998098,-79.22792794
43.65922466,-79.38145787
43.67893915,-79.56173303
43.69873062,-79.55223189
43.75999900,-79.55805779
43.71260605,-79.39177927
43.70916917,-79.40106165
43.65848975,-79.47381142
43.65432196,-79.37876958
43.68244107,-79.30892092
43.69443699,-79.45589435
43.65520301,-79.44634474
43.68767537,-79.30159899
43.65705388,-79.44893428
43.64102596,-79.43451699
43.77658516,-79.41475432
43.63589864,-79.43831669
43.66246733,-79.35136106
43.77954463,-79.23297910
43.64688206,-79.35373540
43.72541063,-79.40073161
43.64075831,-79.41146951
43.66071283,-79.37203380
43.75217535,-79.49490842
43.69009271,-79.34536866
43.65431580,-79.39656565
43.63635457,-79.58027882
43.76450158,-79.21172013
43.77588873,-79.32040810
43.76288710,-79.40846101
43.66709451,-79.37468392
43.65829470,-79.37103207
43.74160883,-79.23261027
43.67093637,-79.37887540
43.68227683,-79.33271605
43.65722765,-79.46685020
43.69039716,-79.46250619
43.73635000,-79.58105000
43.69643000,-79.49016000
43.70974000,-79.50778000
43.67610000,-79.35942000
43.70322000,-79.27952000
43.66878000,-79.40591000
43.67441000,-79.44713000
43.68446000,-79.42144000
43.72472000,-79.30265000
43.75428000,-79.25156000
43.72088000,-79.24145000
43.65429000,-79.40684000
43.66055000,-79.40534000
43.64804000,-79.37174000
43.69796000,-79.51154000
43.66065000,-79.44362000
43.73202000,-79.58942000
43.65809000,-79.44400000
43.63872000,-79.44622000
43.66066000,-79.43167000
43.64977000,-79.43369000
43.67498000,-79.32528000
43.65001000,-79.36206000
43.71108000,-79.26981000
43.72389000,-79.61585000
43.73857000,-79.53798000
43.63896000,-79.42737000
43.76545000,-79.19947000
43.66044000,-79.37590000
43.65899000,-79.43974000
43.66538000,-79.42446000
43.72220000,-79.50202000
43.77552000,-79.13950000
43.66745000,-79.43053000
43.65380000,-79.41195000
43.68887000,-79.33453000
43.65520000,-79.44634000
43.78220000,-79.40447000
43.66431000,-79.56315000
43.66281000,-79.33226000
43.65536000,-79.37392000
43.77066000,-79.22411000
43.64296000,-79.43626000
43.59791000,-79.50665000
43.72288000,-79.30407000
43.73789000,-79.24885000
43.66880000,-79.33758000
43.67834000,-79.27478000
43.66455000,-79.46231000
43.68002000,-79.43365000
43.73318000,-79.43301000
43.70252000,-79.51951000
43.63940000,-79.39800000
43.66043000,-79.37334000
43.73635000,-79.58105000
43.76883000,-79.52040000
43.67813000,-79.30118000
43.75845000,-79.19727000
43.66627000,-79.34484000
43.74283000,-79.50161000
43.69513000,-79.30348000
43.66966000,-79.37579000
43.65616000,-79.39046000
43.65815000,-79.46250000
43.73191000,-79.59604000
43.68228000,-79.33272000
43.64103000,-79.43452000
43.67826000,-79.48373000
43.63718000,-79.43604000
43.69513000,-79.30348000
43.65817000,-79.37239000
43.77798000,-79.31121000
43.71658000,-79.33038000
